Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],AnyFall,NegOutcome
-0.06923505,-0.03116704,0.049516775,0,1
-0.026784692,-0.023386005,0.02614533,0,1
-0.000388588,-0.009679795,9.92E-05,0,1
0.000269952,-0.006951333,-0.003561904,0,1
0.000975734,0.004340172,-0.012695111,0,1
-0.012498392,0.007600783,-0.011561073,0,1
-0.04115086,0.00733852,-0.009337849,0,1
-0.03898251,0.007697101,-0.015722074,0,1
-0.025157787,0.007064818,-0.002082482,0,1
-0.008942205,-0.001025201,-0.008280014,0,1
-0.015841557,0.00262451,-0.016861854,0,1
-0.022001104,0.024308205,-0.023199365,0,1
-0.017783657,-0.003406529,-0.044971112,0,1
-0.023615953,-0.014464384,-0.033111937,0,1
-0.028886303,-0.005515103,-0.015181239,0,1
-0.026422882,-0.003853802,-0.025934698,0,1
-0.005914123,0.00223255,-0.039776474,0,1
-0.018925931,0.017606733,-0.022347124,0,1
-0.02616934,0.015209196,-0.024036167,0,1
-0.013964768,-0.011626247,-0.030615462,0,1
-0.010963256,-0.027425772,-0.029645052,0,1
-0.005824142,-0.032223705,-0.00495806,0,1
-0.03332196,0.007390974,0.021192424,0,1
-0.0516081,0.015926357,0.0279216,0,1
-0.03978521,0.01599216,-0.006666658,0,1
-0.023134375,0.014504432,-0.013074249,0,1
0.009744431,0.005348208,0.027054925,0,1
0.008330227,-0.0194664,0.046106942,0,1
-0.007380091,-0.019049646,0.046655126,0,1
-0.012995812,0.005784989,0.045973316,0,1
-0.006629637,0.008955004,0.03514806,0,1
-0.025900355,0.010959623,0.005259731,0,1
-0.02308384,0.011763571,-0.026550615,0,1
-0.008066176,-0.006393435,-0.029437829,0,1
0.01584649,-0.035546307,-0.027018405,0,1
0.008056602,-0.034229282,-0.027190275,0,1
-0.0266634,-0.011972433,-0.026740422,0,1
-0.02121615,-0.004969602,-0.062286265,0,1
-0.012726,-0.002555851,-0.0690713,0,1
-0.00034892,0.011275291,-0.04159446,0,1
0.008821006,0.010787965,-0.026351117,0,1
-0.015648458,-0.00119591,-0.007868823,0,1
-0.020862548,0.001948354,-0.008495766,0,1
-0.009417213,0.007253646,-0.020758234,0,1
-0.00776613,0.016755104,-0.026461054,0,1
-0.015348426,0.01232624,-0.031134443,0,1
-0.01932395,0.005208013,-0.030225683,0,1
-0.03328403,0.02171516,-0.033174485,0,1
-0.03099775,0.027919767,-0.038388122,0,1
-0.015540472,0.021422384,-0.03853807,0,1
-0.021708777,0.006722448,-0.03891021,0,1
-0.027454732,-0.003907209,-0.051332496,0,1
-0.020725995,0.001758571,-0.06605713,0,1
-0.022798095,0.006393428,-0.07508691,0,1
0.00478518,-0.00840092,-0.07845318,0,1
0.011027205,-0.014738087,-0.078170486,0,1
-0.014460133,0.000434871,-0.07462917,0,1
-0.015370022,0.002016064,-0.057711598,0,1
-0.01198179,-0.001461986,-0.053612653,0,1
-0.022119682,0.029436111,-0.03770568,0,1
-0.03178478,0.036197662,-0.029407233,0,1
-0.03082253,0.002998348,-0.030661924,0,1
-0.029843666,0.016098019,-0.03919949,0,1
-0.029428411,0.03000736,-0.042104837,0,1
-0.007355694,0.015827177,-0.06525936,0,1
-0.018097108,0.005311962,-0.05815661,0,1
-0.0318331,-0.010403639,-0.0367375,0,1
-0.016077692,-0.008811955,-0.04514966,0,1
-0.012583151,0.005552289,-0.05103001,0,1
-0.010380918,0.010186194,-0.047710203,0,1
-0.015391938,0.008121489,-0.038594287,0,1
-0.021038836,0.001796719,-0.025874112,0,1
-0.019595006,-0.004830365,-0.03581836,0,1
-0.021499304,0.002269741,-0.044924576,0,1
