,Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],AnyFall
0,0.014282391,-0.17233181,-0.482754,0
1,0.016368747,-0.17469978,-0.41700536,0
2,0.088920064,0.15752217,-0.21399157,0
3,0.10626652,0.28295323,-0.15941133,0
4,-0.005551513,0.20677088,-0.04260187,0
5,-0.0335534,0.11672782,-0.010239155,0
6,0.02219965,0.09675407,-0.015817393,0
7,0.014081895,0.06470965,-0.09503561,0
8,0.002093568,-0.012532239,-0.12505606,0
9,-0.08528392,-0.10431671,-0.12507308,0
10,-0.108443916,-0.11899376,-0.12206584,0
11,-0.07128354,-0.1827755,-0.16933991,0
12,-0.09324448,0.046887383,-0.19883013,0
13,-0.110419996,0.11447618,-0.21621093,0
14,-0.049595345,0.083406426,-0.22706997,0
15,-0.012751132,0.094585404,-0.18717556,0
16,-0.007012732,0.16179463,-0.16600284,0
17,-0.020763189,0.11722181,-0.27936918,0
18,-0.06988018,0.10147855,-0.36882642,0
19,-0.109134555,0.02261254,-0.59463465,0
20,-0.12669748,-0.10390189,-0.6815357,0
21,-0.14601274,-0.14741708,-0.6589664,0
22,-0.048045024,0.05438516,-0.44962448,0
23,-0.006578088,0.110456444,-0.34842205,0
24,-0.10334829,0.09250258,-0.16827585,0
25,-0.23362707,0.072578415,-0.052361708,0
26,-0.28019476,-0.11341572,0.034045562,0
27,-0.19005942,-0.2094755,0.037341774,0
28,-0.09420398,-0.28284356,-0.010119312,0
29,0.13490634,-0.52655596,-0.06898405,0
30,0.22146952,-0.5595817,-0.014760003,0
31,0.1603792,-0.10464475,0.19172649,0
32,-0.01305902,0.30578038,0.08827493,0
33,-0.2008683,0.45012662,-0.17735267,0
34,-0.80344164,0.6312789,-0.92847806,0
35,-0.9732575,0.705593,-1.3111798,0
36,-0.8867126,0.5871724,-1.457044,0
37,-0.37567028,-0.04674914,-0.4787294,0
38,-0.025880082,-0.3477697,-0.049546886,0
39,0.45680228,-0.49184698,0.17721817,0
40,0.42146358,-0.44392392,0.052789383,0
41,0.22896945,-0.49998376,-0.3159006,0
42,0.16116387,-0.18422031,-0.54162705,0
43,0.179618,0.022346467,-0.7028253,0
44,0.45746756,0.25081533,-0.77177197,0
45,0.5506701,0.26200196,-0.3910759,0
46,0.49660414,-0.029336894,0.44610327,0
47,0.6022828,-0.270647,0.29805297,0
48,0.5515866,-0.22081468,-0.026176441,0
49,0.17745411,0.13269897,-0.6802621,0
50,0.004925519,0.32915968,-0.9213379,0
51,-0.04107997,0.23390955,-1.0663466,0
52,0.13803187,-0.33141044,-1.057999,0
53,0.26771903,-0.2656412,-0.9623958,0
54,0.76295257,0.10889241,-0.8584769,0
55,0.91427696,0.18639657,-0.81559485,0
56,0.95833,0.003477099,-0.45188555,0
57,1.1721838,-0.014694191,-0.12711701,0
58,1.1922109,0.104191795,-0.13543308,0
59,0.7518844,0.13701914,-0.542584,0
60,0.347427,-0.00696375,-0.6408728,0
61,-0.21061414,-0.31942078,-0.20118213,0
62,-0.20668694,-0.13549423,-0.08555115,0
63,0.06127736,0.108530976,-0.281608,0
64,0.35935628,0.12741277,-0.6399996,0
65,0.2872014,-0.091274284,-0.7370834,0
66,0.11311321,-0.2434063,-0.53465855,0
67,-0.015650123,0.108133316,0.14429387,0
68,-0.05558969,0.17655754,0.19203992,0
69,-0.10585526,0.1570215,-0.1697529,0
70,-0.1313054,0.06646344,-0.47317174,0
71,-0.2570685,-0.12394814,-1.0075604,0
72,-0.13888898,-0.14053823,-0.6448404,0
73,0.07488254,-0.09415817,-0.21364103,0
74,0.3686492,0.14747334,0.26320896,0
75,0.33120742,0.24646091,0.14579235,0
76,0.06289402,0.20182797,-0.25710014,0
77,-0.2351638,-0.027039554,-0.4764417,0
78,-0.30818987,-0.086792015,-0.4533533,0
79,-0.16133969,-0.120459564,-0.2578228,0
80,-0.006908804,-0.011018761,-0.1904678,0
81,0.13483888,0.13165759,-0.20513254,0
82,0.07585309,-0.030372627,-0.24284396,0
83,0.10512346,-0.07650089,-0.21301305,0
84,0.20358236,-0.007716181,-0.16323844,0
85,0.24274531,0.02641296,-0.14832962,0
86,0.21188529,0.013559341,-0.11297932,0
87,0.23211983,-0.06292533,-0.1676983,0
88,0.24465728,-0.08242797,-0.19574586,0
89,0.21986505,-0.057085995,-0.27035272,0
90,0.19649231,-0.035967834,-0.34380287,0
91,0.124052584,0.028134327,-0.44701338,0
92,0.079530925,0.054934483,-0.40409875,0
93,0.10192338,0.029040318,-0.40480328,0
94,0.13601159,-0.026575102,-0.4136852,0
95,0.13716508,-0.022727026,-0.37903136,0
96,0.03752522,0.041496262,-0.25584576,0
97,0.13287553,0.012871734,-0.23333395,0
98,0.146804,0.014378538,-0.25409192,0
99,0.100893185,0.031250935,-0.3740973,0
100,0.12542647,0.01668547,-0.40250915,0
101,0.40285647,-0.08683394,-0.10593186,0
102,0.60112107,0.19134808,-0.01728035,0
103,0.53043807,0.20386408,-0.32549137,0
104,0.07930142,-0.047931712,-0.97529495,0
105,-0.111417025,-0.10595803,-1.0775969,0
106,-0.023632675,-0.107338935,-0.71788216,0
107,0.17930868,-0.048161514,-0.33733624,0
108,0.21280214,0.089833245,-0.20857528,0
109,0.14487262,0.10611914,-0.21866354,0
110,0.029523224,-0.06310083,-0.43885082,0
111,-0.09202191,-0.2198229,-0.6182444,0
112,0.13537166,-0.13197039,-0.22941825,0
113,0.2015232,-0.10982799,-0.063926585,0
114,0.19453588,-0.017885195,0.12111147,0
115,0.17274547,0.058163654,0.246962,0
116,0.16178818,0.07280256,0.42792526,0
117,0.097679146,-0.016509995,0.22147101,0
118,0.08450633,-0.059366215,0.082160085,0
119,0.03599962,-0.014060022,-0.07372575,0
120,0.011850093,-0.02674389,-0.09832787,0
121,0.04090313,-0.17126082,0.061469823,0
122,0.08352255,-0.10751627,0.21357104,0
123,0.06811012,-0.018258082,0.1932767,0
124,-0.004276041,0.072612755,0.055579808,0
125,-0.03714975,0.050916664,-0.027320182,0
126,-0.0727301,-0.045814518,-0.14440052,0
127,-0.016726054,-0.09078598,-0.1589189,0
128,-0.04617787,-0.08998203,-0.13200027,0
129,-0.21865845,-0.011002544,0.007839174,0
130,-0.23716272,0.04378604,0.043846082,0
131,-0.07822949,0.02248383,0.15484095,0
132,-0.05170153,-0.07465647,0.18262275,0
133,-0.1377061,-0.033818237,0.14394778,0
134,-0.23691589,-0.001584059,-0.009201482,0
135,-0.19430499,-0.014169698,-0.02617544,0
136,-0.03377319,0.090577126,0.14698468,0
137,0.050090935,0.10351181,0.106347986,0
138,0.000338972,0.17506693,0.0894403,0
139,0.16612715,0.04679965,-0.23284575,0
140,0.31989563,0.03034495,-0.4173283,0
141,0.22382918,0.07606885,-0.6101926,0
142,0.08741106,0.09789177,-0.6478201,0
143,0.019515201,0.21603294,-0.5025875,0
144,0.964203,0.20820138,-0.89061415,0
145,1.1085916,0.04305645,-1.3406256,0
146,0.50394124,-0.28726295,-1.8623949,0
147,0.15686846,-0.21648224,-2.0608544,0
148,0.10634667,0.00881091,-1.9206682,0
149,0.25888503,-0.007673329,-1.5556624,0
150,0.43317854,-0.27761844,-1.4980788,0
151,-0.017913043,-0.34096244,-1.5872217,0
152,-0.71710044,0.0165862,-1.8416216,0
153,-0.7739083,0.083974734,-1.766833,0
154,-0.3819,-0.37846953,-1.429348,0
155,-0.09036574,-0.69086075,-1.3672152,0
156,0.06953144,-0.815218,-1.3095219,0
157,-0.37761953,-1.1145992,-1.56329,0
158,-0.5904752,-1.2881174,-1.7587695,0
159,-0.42857507,-0.9100705,-1.7504185,0
160,-0.28957674,-0.54464436,-1.6985986,0
161,0.46826547,-0.26539996,-1.6365472,0
162,0.5826926,0.041282598,-1.4405961,0
163,-0.09580451,-0.15859991,-1.6184164,0
164,-2.0053759,-0.6115895,-1.9305401,0
165,-2.5227194,-0.59535986,-1.7393556,0
166,-2.5679445,-0.6238289,-0.21228132,0
167,-1.1465861,-0.56712234,1.5754104,0
168,-0.13974303,-1.5092294,2.39583,0
169,1.0722029,-3.6499982,4.399402,0
170,1.1789503,-3.6224713,3.980643,0
171,-0.3095798,-2.4868214,0.6833339,0
172,-1.1471307,-1.1581535,-0.9728561,0
173,-0.74739414,-0.4866095,-0.9324794,0
174,0.4979516,-0.15730856,-0.36347398,0
175,0.75703526,0.04065136,0.46981525,0
176,-0.042857155,1.8609074,0.5752874,0
177,-0.60566735,2.677676,0.41272196,0
178,-0.19046849,2.580796,0.9960809,0
179,-0.30287868,1.7822113,2.5745602,0
180,-1.1406536,1.3402748,3.025517,0
181,-1.6081449,3.5401523,2.9055345,0
182,0.07150918,5.8593755,2.210537,0
183,0.8758756,4.8488393,2.185215,0
184,1.6135931,-0.16797529,1.8274181,0
185,1.6206086,-1.4874179,1.3719474,0
186,1.5760175,-1.2531995,0.14931542,0
187,1.4853752,-0.001401876,-0.2457633,0
188,1.3439518,0.42321014,0.13222335,0
189,1.3885636,0.13232808,0.59799236,0
190,1.3449559,-0.03206437,0.7047429,0
191,1.3693345,-1.2258042,0.012111728,0
192,0.65184367,-0.14387797,-0.3573236,0
193,0.24488284,0.4850721,-0.20462885,0
194,-0.24115023,1.0882949,0.26698998,0
195,-0.2930599,0.8907365,0.47209793,0
196,0.25641656,0.42336753,0.90865165,0
197,0.6441417,0.677516,0.833358,0
198,0.26619762,0.60238266,0.53285205,0
199,-0.6128721,-0.44380188,-0.24224924,0
200,-0.81878287,-0.8568306,-0.5810749,0
201,-0.7983159,-0.79453754,-1.0446806,0
202,-0.583768,-0.28888133,-0.80738163,0
203,-0.5948153,0.109830804,-0.57708555,0
204,-1.085525,0.40220442,-0.48757914,0
205,-1.3732548,0.080190584,-0.6711985,0
206,-1.276098,-0.5102892,-0.7725388,0
207,-0.29019997,-0.026663799,-0.30704725,0
208,0.16765344,0.1832342,-0.07940692,0
209,0.6123127,0.12357809,0.16851786,0
210,0.60110086,-0.024412133,0.14016777,0
211,0.25858277,-0.20447825,-0.085169114,0
212,-0.16775574,-0.04718496,-0.33182314,0
213,-0.328848,0.006700487,-0.43462294,0
214,-0.35879812,-0.10706522,-0.46704924,0
215,-0.27054587,-0.15243246,-0.42610702,0
216,-0.14841372,-0.04538919,-0.330162,0
217,-0.06640902,0.019832592,-0.3416383,0
218,-0.037838988,-0.009344117,-0.3434104,0
219,-0.019537471,-0.05030824,-0.29374024,0
220,-0.03172353,-0.036392223,-0.26687163,0
221,-0.094130315,-0.007761968,-0.23798078,0
222,-0.20123377,0.03380869,-0.23689798,0
223,-0.2431502,0.041457154,-0.23648971,0
224,-0.2530148,-0.020911233,-0.2574234,0
225,-0.24079996,-0.060610786,-0.28030843,0
226,-0.23324963,-0.07111646,-0.32468522,0
227,-0.24841824,-0.041514415,-0.34993002,0
228,-0.23326424,-0.041358966,-0.3663627,0
229,-0.21592364,-0.058781642,-0.40270218,0
230,-0.22459777,-0.060770057,-0.40933344,0
231,-0.2021029,-0.05376913,-0.37828207,0
232,-0.14518201,0.000489218,-0.29279462,0
233,-0.17622699,0.058289506,-0.29494098,0
234,-0.44783783,0.14328285,-0.39636755,0
235,-0.6109853,-1.62e-05,-0.44500726,0
236,-0.930086,-0.38918975,-0.5739005,0
237,-0.79841477,-0.018913323,-0.7936059,0
238,-0.463,0.3362388,-0.69212234,0
239,0.16154768,0.35382172,-0.2763202,0
240,0.24692902,0.30194947,-0.1579779,0
241,0.18288198,0.15508936,-0.052491587,0
242,0.4281022,0.16367912,0.026124602,0
243,0.55142355,0.13478088,0.001583748,0
244,0.61151403,-0.15941712,-0.09400115,0
245,0.64212596,-0.28767583,-0.13623305,0
246,0.57226646,-0.1505289,-0.15727575,0
247,0.43821758,0.17714596,-0.038527213,0
248,0.35573494,0.27928445,0.039786413,0
249,0.029575758,0.095191956,0.10208459,0
250,-0.057493478,-0.12701987,0.17733641,0
251,0.4312547,-0.05540749,0.37953913,0
252,1.1085014,0.3435202,0.4699974,0
253,1.4486907,0.97899914,0.6622002,0
254,2.265987,3.5016763,1.113157,0
255,2.5895329,3.644323,1.0101485,0
256,1.8943417,2.8948953,0.59770197,0
257,0.2553746,2.967429,-0.4057518,0
258,-0.76979095,3.1653774,-0.88410586,0
259,-1.4532269,2.6083915,-1.0683305,0
260,-0.9639595,1.9692562,-0.87552017,0
261,-0.25231522,1.3825053,-0.68510026,0
262,0.09816348,1.1595591,-0.28955686,0
263,0.15455565,0.83115953,-0.1224903,0
264,-0.22381538,-0.39010236,-0.025239127,0
265,-0.7125457,-1.0654677,-0.11551986,0
266,-1.7484839,-2.1916711,-0.6199525,0
267,-1.7837929,-3.2667062,-1.0292214,0
268,-1.7420306,-3.4746807,-1.2401757,0
269,-2.0790317,-3.7395287,-1.9592628,0
270,-2.202877,-3.705327,-2.1480505,0
271,-1.5454025,-3.2480657,-1.044569,0
272,-0.34943327,-2.9011128,0.3787084,0
273,0.34330225,-2.3627536,0.9822132,0
274,0.70595556,-0.952319,1.4228554,0
275,0.27077165,-0.38608637,1.1890041,0
276,-0.8936228,0.06428432,0.5143022,0
277,-1.473983,0.17904563,0.15712671,0
278,-1.5140804,0.17473407,0.28791165,0
279,-1.0139731,1.28592,0.33545774,0
280,-0.6078006,1.8248795,0.32072303,0
281,-0.12753236,0.9539442,1.478386,0
282,-0.5321332,0.10254293,1.4996365,0
283,-0.95089656,-0.17454623,0.50143206,0
284,-0.31095925,-0.61757374,-1.0125109,0
285,0.101266205,-0.772316,-1.4152305,0
286,-0.19746023,-1.1364164,-2.28158,0
287,-0.43891078,-0.9222918,-2.5259712,0
288,-0.14154208,-0.64924914,-2.2875075,0
289,0.82899266,-0.11835962,-1.7017915,0
290,1.1603144,0.14113325,-1.4877099,0
291,1.1810604,0.4121446,-1.3612843,0
292,0.74639547,0.27530187,-1.1697509,0
293,0.5551282,0.029131852,-1.044477,0
294,0.2398134,-0.32074928,-0.7229204,0
295,0.1517283,-0.22396374,-0.5298314,0
296,0.16344315,0.16139315,-0.11844531,0
297,0.21165857,0.20216465,0.26086614,0
298,0.18722792,0.04834367,0.2386649,0
299,0.10711514,-0.3004894,-0.2901072,0
300,0.08463262,-0.20370771,-0.56514496,0
301,0.049553633,0.07667727,-0.96481043,0
302,-0.42842564,-0.056911517,-0.9410799,0
303,-0.68572366,-0.10494522,-0.5840186,0
304,-0.5311804,-0.14359665,0.0781324,0
305,-0.40171978,0.04114818,0.14147899,0
306,0.04699084,0.2616939,-0.38628423,0
307,0.7687315,0.017380688,-0.93331534,0
308,0.9591802,-0.13624956,-1.2023239,0
309,0.545898,-0.14717297,-1.5957499,0
310,0.20983839,0.038700987,-1.5980582,0
311,0.07366997,0.23467535,-1.0961453,0
312,0.7702521,0.3372583,-0.17635919,0
313,1.3338075,0.2385054,0.23117544,0
314,2.0137124,-0.2033166,0.42309123,0
315,1.7582756,-0.34175482,0.13175668,0
316,0.7557411,-0.13033581,-0.6301168,0
317,0.23578668,0.14198488,-1.0675889,0
318,0.14070642,0.07176489,-1.1934068,0
319,0.012714446,-0.07830149,-1.4239718,0
320,0.000544071,-0.05553156,-1.4016497,0
321,0.07292917,-0.15811448,-1.2425326,0
322,0.35496855,-0.14461616,-1.1692463,0
323,0.54723537,-0.06550601,-1.1464332,0
324,0.9360086,0.33932298,-1.1235113,0
325,1.096312,0.38890165,-1.3673003,0
326,1.4285464,-0.25792223,-2.3962119,0
327,0.85087216,-1.1265669,-2.093115,0
328,0.4545161,-1.0745,-1.4963975,0
329,1.1867669,0.18165387,-2.4469473,0
330,1.086144,0.90755546,-2.2872453,0
331,-1.7389934,2.1400154,1.0731213,0
332,-2.165151,2.2780333,3.8466954,0
333,-0.34233797,1.6144342,3.8092237,0
334,2.5376215,0.65416634,2.0708396,0
335,2.4186862,0.40099913,0.88390845,0
336,0.49370524,-0.7288398,-0.23547135,0
337,-1.694687,-1.9056095,0.5141822,0
338,-1.8423121,-1.9135445,0.99644387,0
339,-0.6076239,-0.7756147,0.58154696,0
340,0.11589071,-0.6156873,0.10266771,0
341,0.6948409,-0.5702371,-0.45945087,0
342,-0.013668016,-0.8654012,-0.255555,0
343,-0.25128967,-0.8137197,0.02339778,0
344,-0.06895941,-1.2717942,0.33571047,0
345,-0.000232801,-1.8053168,0.3413761,0
346,0.29263666,-1.6524915,0.38017282,0
347,1.0381974,-0.091355234,1.1690676,0
348,0.96346253,0.15674219,1.8675047,0
349,0.29489774,-0.007254474,2.5641582,0
350,0.2258864,0.525034,2.3953052,0
351,-0.14684102,1.6486386,1.1139709,0
352,-4.708275,-1.6671418,2.0204735,0
353,-6.3104324,-5.188683,4.421419,0
354,-3.7152524,-5.6288066,7.1890783,0
355,-1.9142964,-3.721551,6.7595997,0
356,-1.3009843,-2.4931343,3.1958106,0
357,-4.187127,-1.6126251,-1.6277384,0
358,-2.99967,-2.27205,-1.4304923,0
359,1.0262241,-2.5293572,1.7711369,0
360,1.0864856,-1.9482653,2.3339856,0
361,-0.1915017,-2.1732585,1.0689274,0
362,-0.51148355,-2.0942366,1.3148702,0
363,-0.44667846,-1.3140886,2.1989684,0
364,0.15884435,-0.6087969,2.9373984,0
365,0.10948777,-1.1732414,2.1933644,0
366,-0.3547572,-3.3522623,0.1610297,0
367,-0.84401894,-5.1516385,-1.4435543,0
368,-1.3086513,-4.93557,-2.0582123,0
369,-2.45959,-0.7129718,-2.826979,0
370,-2.5311322,2.666431,-2.7664542,0
371,-1.4627979,9.752527,-0.96928793,0
372,-0.26662606,12.934435,0.57141036,0
373,-0.01994741,13.577723,0.6530685,0
374,-0.1811435,13.834011,0.5323316,0
375,-0.17792812,12.370148,0.9554607,0
376,-1.0359774,5.807694,1.0043083,0
377,-1.4466482,1.0922784,1.5620064,0
378,-0.7656758,-0.6287573,2.7303462,0
379,0.09517628,-6.948587,2.1781125,0
380,0.015585274,-9.608167,1.1201975,0
381,-0.41560352,-10.818128,0.19098502,0
382,0.15091619,-10.473549,-0.32097054,0
383,0.17467788,-10.352011,-1.1256344,0
384,-0.047227383,-6.836279,-2.7141862,0
385,-0.039945006,-2.6738615,-2.8964903,0
386,-0.05099523,3.7195,-2.923535,0
387,-2.0811176,8.387388,-3.042593,0
388,-2.6941464,11.939066,-3.2327409,0
389,-2.8568435,16.118353,-3.3666034,0
390,-2.4905863,15.03714,-2.5404437,0
391,0.56321,7.366112,0.5208783,0
